position,name,height,foot,current league,current club,24/25 minutes,24/25 goals,24/25 games,24/25 assists,23/24 minutes,23/24 goals,23/24 games,23/24 assists,22/23 minutes,22/23 goals,22/23 games,22/23 assists,21/22 minutes,21/22 goals,21/22 games,21/22 assists,20/21 minutes,20/21 goals,20/21 games,20/21 assists,19/20 minutes,19/20 goals,19/20 games,19/20 assists,18/19 minutes,18/19 goals,18/19 games,18/19 assists,17/18 minutes,17/18 goals,17/18 games,17/18 assists,16/17 minutes,16/17 goals,16/17 games,16/17 assists
Central Midfield,Adrien Rabiot,191.0,left,Ligue 1,Olympique Marseille,503.0,0.0,7.0,0.0,3012.0,5.0,35.0,3.0,4218.0,11.0,48.0,6.0,3359.0,0.0,45.0,2.0,3254.0,5.0,47.0,3.0,2476.0,1.0,37.0,1.0,1436.0,2.0,20.0,2.0,3735.0,5.0,50.0,6.0,2793.0,4.0,39.0,3.0
Attacking Midfield,Oscar Trejo,180.0,right,LaLiga,Rayo Vallecano,240.0,1.0,5.0,0.0,1376.0,0.0,32.0,0.0,2306.0,3.0,37.0,5.0,2373.0,4.0,38.0,9.0,3153.0,5.0,45.0,1.0,3103.0,5.0,39.0,1.0,1856.0,1.0,27.0,4.0,3034.0,12.0,36.0,5.0,2467.0,2.0,31.0,6.0
Defensive Midfield,Emre Can,186.0,right,Bundesliga,Borussia Dortmund,1060.0,4.0,16.0,1.0,3049.0,2.0,38.0,2.0,2737.0,3.0,38.0,1.0,1943.0,5.0,28.0,1.0,3143.0,2.0,40.0,5.0,1417.0,2.0,23.0,1.0,2257.0,4.0,37.0,1.0,2942.0,6.0,38.0,4.0,2810.0,5.0,40.0,2.0
Central Midfield,Nicolò Fagioli,178.0,right,Serie A,Juventus FC,656.0,0.0,14.0,1.0,439.0,0.0,8.0,2.0,2188.0,3.0,37.0,5.0,2191.0,3.0,33.0,7.0,1568.0,2.0,22.0,1.0,2146.0,5.0,32.0,5.0,1913.0,6.0,29.0,9.0,2477.0,13.0,32.0,2.0,349.0,1.0,5.0,0.0
Defensive Midfield,Ellyes Skhiri,185.0,right,Bundesliga,Eintracht Frankfurt,1075.0,0.0,18.0,3.0,3100.0,5.0,38.0,3.0,3548.0,8.0,40.0,1.0,1864.0,5.0,23.0,1.0,3271.0,6.0,37.0,3.0,2764.0,1.0,33.0,3.0,3181.0,3.0,38.0,2.0,3621.0,4.0,41.0,1.0,3390.0,1.0,39.0,1.0
Right Winger,Oscar Bobb,175.0,left,Premier League,Manchester City,90.0,0.0,1.0,1.0,819.0,2.0,26.0,2.0,3001.0,8.0,35.0,18.0,2822.0,8.0,34.0,12.0,2248.0,11.0,28.0,1.0,979.0,4.0,17.0,2.0,,,,,,,,,,,,
Attacking Midfield,Fabian Rieder,179.0,left,Bundesliga,VfB Stuttgart,791.0,1.0,18.0,3.0,1033.0,4.0,27.0,2.0,3432.0,9.0,43.0,11.0,2219.0,5.0,42.0,11.0,1728.0,1.0,35.0,1.0,518.0,1.0,8.0,0.0,2081.0,12.0,27.0,0.0,455.0,0.0,7.0,0.0,,,,
Left Winger,Igor Dmitriev,178.0,left,Premier Liga,Krylya Sovetov Samara,866.0,2.0,19.0,1.0,1674.0,0.0,35.0,2.0,2084.0,6.0,27.0,9.0,1972.0,15.0,34.0,8.0,1586.0,10.0,21.0,6.0,,,,,,,,,,,,,,,,
Left Winger,Nicola Sansone,174.0,right,Serie A,US Lecce,54.0,0.0,3.0,0.0,813.0,2.0,26.0,2.0,897.0,5.0,20.0,4.0,881.0,2.0,27.0,5.0,1275.0,2.0,28.0,2.0,2278.0,4.0,34.0,4.0,1588.0,3.0,23.0,6.0,806.0,6.0,22.0,2.0,2720.0,9.0,44.0,4.0
Forward,Steve Ngoura,193.0,right,Ligue 1,Le Havre AC,86.0,0.0,5.0,0.0,1419.0,7.0,30.0,2.0,2683.0,17.0,38.0,0.0,1377.0,9.0,24.0,0.0,,,,,,,,,,,,,,,,,,,,
